Color_Beige,Color_Black,Color_Blue,Color_Green,Color_Grey,Color_Red,Color_Silver,Color_Violet,Color_White,Color_Yellow,Fuel_CNG,Fuel_Diesel,Fuel_Petrol,Age_08_04,KM,HP,Met_Color,Automatic,CC,Doors,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Parking_Assistant,Tow_Bar,Price
0,0,1,0,0,0,0,0,0,0,0,1,0,23,46986,90,1,0,2000,3,5,210,1165,0,1,3,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,13500
0,0,0,0,0,0,1,0,0,0,0,1,0,23,72937,90,1,0,2000,3,5,210,1165,0,1,3,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,13750
0,0,1,0,0,0,0,0,0,0,0,1,0,24,41711,90,1,0,2000,3,5,210,1165,1,1,3,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,13950
0,1,0,0,0,0,0,0,0,0,0,1,0,26,48000,90,0,0,2000,3,5,210,1165,1,1,3,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,14950
0,1,0,0,0,0,0,0,0,0,0,1,0,30,38500,90,0,0,2000,3,5,210,1170,1,1,3,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,13750
0,0,0,0,0,0,0,0,1,0,0,1,0,32,61000,90,0,0,2000,3,5,210,1170,0,1,3,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,12950
0,0,0,0,1,0,0,0,0,0,0,1,0,27,94612,90,1,0,2000,3,5,210,1245,0,1,3,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,16900
0,0,0,0,1,0,0,0,0,0,0,1,0,30,75889,90,1,0,2000,3,5,210,1245,1,1,3,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,18600
0,0,0,0,0,1,0,0,0,0,0,0,1,27,19700,192,0,0,1800,3,5,100,1185,0,1,3,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,21500
0,0,1,0,0,0,0,0,0,0,0,1,0,23,71138,69,0,0,1900,3,5,185,1105,0,1,3,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,12950
0,0,0,0,0,0,1,0,0,0,0,0,1,25,31461,192,0,0,1800,3,6,100,1185,1,1,12,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,20950
0,0,0,0,0,1,0,0,0,0,0,0,1,22,43610,192,0,0,1800,3,6,100,1185,1,1,3,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,19950
0,0,0,0,0,1,0,0,0,0,0,0,1,25,32189,192,0,0,1800,3,6,100,1185,1,1,3,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,19600
0,1,0,0,0,0,0,0,0,0,0,0,1,31,23000,192,1,0,1800,3,6,100,1185,1,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,21500
0,0,0,0,1,0,0,0,0,0,0,0,1,32,34131,192,1,0,1800,3,6,100,1185,1,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,22500
0,0,0,0,1,0,0,0,0,0,0,0,1,28,18739,192,0,0,1800,3,6,100,1185,0,1,3,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,22000
0,0,0,0,1,0,0,0,0,0,0,0,1,30,34000,192,1,0,1800,3,5,100,1185,0,1,3,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,22750
0,0,1,0,0,0,0,0,0,0,0,0,1,24,21716,110,1,0,1600,3,5,85,1105,0,0,18,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,17950
0,0,0,0,1,0,0,0,0,0,0,0,1,24,25563,110,0,0,1600,3,5,19,1065,0,0,3,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,16750
0,0,0,0,1,0,0,0,0,0,0,0,1,30,64359,110,1,0,1600,3,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,16950
0,0,1,0,0,0,0,0,0,0,0,0,1,30,67660,110,1,0,1600,3,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,15950
0,0,0,0,1,0,0,0,0,0,0,0,1,29,43905,110,0,1,1600,3,5,100,1170,0,1,3,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,16950
0,1,0,0,0,0,0,0,0,0,0,0,1,28,56349,110,1,0,1600,3,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,15950
0,1,0,0,0,0,0,0,0,0,0,0,1,28,32220,110,1,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,16950
0,0,0,0,1,0,0,0,0,0,0,0,1,29,25813,110,1,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,16250
0,0,1,0,0,0,0,0,0,0,0,0,1,25,28450,110,1,0,1600,3,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,15950
0,0,1,0,0,0,0,0,0,0,0,0,1,27,34545,110,1,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,17495
0,1,0,0,0,0,0,0,0,0,0,0,1,29,41415,110,1,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,15750
0,0,0,0,1,0,0,0,0,0,0,0,1,28,44142,110,0,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,16950
0,0,1,0,0,0,0,0,0,0,0,0,1,30,11090,110,1,0,1600,3,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,17950
0,0,0,0,0,0,1,0,0,0,0,0,1,29,9750,97,1,0,1400,3,5,19,1100,1,1,12,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12950
0,0,1,0,0,0,0,0,0,0,0,0,1,22,35199,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,15750
0,1,0,0,0,0,0,0,0,0,0,0,1,27,29510,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,15950
0,0,0,0,1,0,0,0,0,0,0,0,1,26,32692,97,1,0,1400,3,5,85,1100,0,1,3,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,14950
0,0,0,0,1,0,0,0,0,0,0,0,1,22,41000,97,1,0,1400,3,5,85,1100,0,0,3,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,15500
0,0,0,0,1,0,0,0,0,0,0,0,1,26,43000,97,0,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,15750
0,0,0,0,1,0,0,0,0,0,0,0,1,25,25000,97,0,0,1400,3,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,15950
0,0,1,0,0,0,0,0,0,0,0,0,1,23,10000,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,14950
0,0,0,1,0,0,0,0,0,0,0,0,1,32,25329,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,15750
0,0,1,0,0,0,0,0,0,0,0,0,1,27,27500,97,0,0,1400,3,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,14750
0,0,1,0,0,0,0,0,0,0,0,0,1,22,49059,97,0,0,1400,3,5,85,1100,0,1,3,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,13950
0,0,0,0,0,1,0,0,0,0,0,0,1,27,44068,97,1,0,1400,3,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,16750
0,0,1,0,0,0,0,0,0,0,0,0,1,22,46961,97,0,0,1400,3,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,13950
0,0,0,0,0,1,0,0,0,0,0,1,0,27,110404,90,0,0,2000,5,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,16950
0,0,0,0,0,1,0,0,0,0,0,1,0,22,100250,90,0,0,2000,5,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,16950
0,0,0,0,0,1,0,0,0,0,0,1,0,23,84000,90,0,0,2000,5,5,234,1270,0,1,3,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,19000
0,0,0,0,1,0,0,0,0,0,0,1,0,27,79375,90,1,0,2000,5,5,234,1255,0,1,3,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,17950
0,0,1,0,0,0,0,0,0,0,0,0,1,22,75048,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,15800
0,0,0,0,1,0,0,0,0,0,0,1,0,22,72215,90,1,0,2000,5,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,17950
0,0,0,0,1,0,0,0,0,0,0,0,1,31,64982,192,1,0,1800,5,6,100,1195,1,1,3,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,21950
0,0,0,0,1,0,0,0,0,0,0,1,0,22,62636,90,1,0,2000,5,5,234,1255,1,1,3,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,17950
0,0,0,0,1,0,0,0,0,0,0,0,1,30,57086,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,15750
0,0,1,0,0,0,0,0,0,0,0,0,1,26,56000,110,1,1,1600,5,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,20500
0,0,0,1,0,0,0,0,0,0,0,0,1,27,49866,192,1,0,1800,5,5,100,1195,0,1,13,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,21950
0,0,0,1,0,0,0,0,0,0,0,0,1,25,49163,110,0,1,1600,5,5,100,1165,0,1,3,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,15500
0,1,0,0,0,0,0,0,0,0,0,0,1,32,45725,110,1,0,1600,5,5,85,1075,1,1,3,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,13250
0,0,0,0,1,0,0,0,0,0,0,0,1,28,43210,97,0,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,15250
0,0,0,0,1,0,0,0,0,0,0,0,1,26,43000,97,0,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,15250
0,0,1,0,0,0,0,0,0,0,0,0,1,23,39704,110,1,1,1600,5,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,18950
0,0,0,0,0,1,0,0,0,0,0,0,1,30,38950,110,1,0,1600,5,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,15999
0,1,0,0,0,0,0,0,0,0,0,0,1,22,37400,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,14950
0,0,0,0,0,1,0,0,0,0,0,0,1,27,37177,110,0,0,1600,5,5,85,1130,0,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,16500
0,0,1,0,0,0,0,0,0,0,0,0,1,31,36544,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,18750
0,0,1,0,0,0,0,0,0,0,0,0,1,30,33511,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,17950
0,1,0,0,0,0,0,0,0,0,0,0,1,27,32809,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,17950
0,0,1,0,0,0,0,0,0,0,0,0,1,26,32181,110,1,0,1600,5,5,19,1075,0,1,12,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,16950
0,1,0,0,0,0,0,0,0,0,0,0,1,28,30993,110,1,0,1600,5,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,18950
0,0,0,0,1,0,0,0,0,0,0,0,1,22,30400,97,1,0,1400,5,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,14950
0,0,0,0,1,0,0,0,0,0,0,1,0,22,30000,110,1,0,2000,5,5,234,1275,1,1,3,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,22250
0,1,0,0,0,0,0,0,0,0,0,0,1,25,29719,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,15950
0,0,0,0,1,0,0,0,0,0,0,0,1,28,29206,97,1,0,1400,5,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,15950
0,0,0,0,1,0,0,0,0,0,0,0,1,32,29198,97,1,0,1400,5,5,85,1060,1,1,3,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,12995
